"origin" "uniprot" "protein" "description"
"570" "sp" "P55008" "AIF1" " Allograft inflammatory factor 1 OS=Homo sapiens OX=9606 GN=AIF1 PE=1 SV=1"
"571" "sp" "P61952" "GBG11" " Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11 OS=Homo sapiens OX=9606 GN=GNG11 PE=1 SV=1"
"572" "sp" "Q13287" "NMI" " N-myc-interactor OS=Homo sapiens OX=9606 GN=NMI PE=1 SV=2"
"573" "sp" "Q9P1F3" "ABRAL" " Costars family protein ABRACL OS=Homo sapiens OX=9606 GN=ABRACL PE=1 SV=1"
"574" "tr" "A0A075B6Y5" "A0A075B6Y5" " T cell receptor alpha joining 47 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ47 PE=4 SV=1"
"575" "sp" "P02812" "PRB2" " Basic salivary proline-rich protein 2 OS=Homo sapiens OX=9606 GN=PRB2 PE=1 SV=4"
"576" "sp" "P23527" "H2B1O" " Histone H2B type 1-O OS=Homo sapiens OX=9606 GN=H2BC17 PE=1 SV=3"
"577" "sp" "Q3Y452" "TDRG1" " Testis development-related protein 1 OS=Homo sapiens OX=9606 GN=TDRG1 PE=1 SV=1"
"578" "sp" "Q6IEU7" "OR5MA" " Olfactory receptor 5M10 OS=Homo sapiens OX=9606 GN=OR5M10 PE=2 SV=1"
"579" "sp" "Q7RTU7" "SCX" " Basic helix-loop-helix transcription factor scleraxis OS=Homo sapiens OX=9606 GN=SCX PE=1 SV=1"
"580" "sp" "Q8IYL3" "CA174" " UPF0688 protein C1orf174 OS=Homo sapiens OX=9606 GN=C1orf174 PE=1 SV=2"
"581" "sp" "Q99645" "EPYC" " Epiphycan OS=Homo sapiens OX=9606 GN=EPYC PE=2 SV=3"
"582" "sp" "Q9H2I8" "LRMDA" " Leucine-rich melanocyte differentiation-associated protein OS=Homo sapiens OX=9606 GN=LRMDA PE=1 SV=1"
"583" "sp" "Q9NUG6" "PDRG1" " p53 and DNA damage-regulated protein 1 OS=Homo sapiens OX=9606 GN=PDRG1 PE=1 SV=2"
"584" "sp" "A8MTZ0" "BBIP1" " BBSome-interacting protein 1 OS=Homo sapiens OX=9606 GN=BBIP1 PE=1 SV=2"
"585" "sp" "P51504" "ZNF80" " Zinc finger protein 80 OS=Homo sapiens OX=9606 GN=ZNF80 PE=1 SV=2"
"586" "sp" "Q14116" "IL18" " Interleukin-18 OS=Homo sapiens OX=9606 GN=IL18 PE=1 SV=1"
"587" "sp" "Q96BT3" "CENPT" " Centromere protein T OS=Homo sapiens OX=9606 GN=CENPT PE=1 SV=2"
"588" "sp" "Q96LT9" "RNPC3" " RNA-binding region-containing protein 3 OS=Homo sapiens OX=9606 GN=RNPC3 PE=1 SV=1"
"589" "sp" "Q9GZQ8" "MLP3B" " Microtubule-associated proteins 1A/1B light chain 3B OS=Homo sapiens OX=9606 GN=MAP1LC3B PE=1 SV=3"
"590" "sp" "A6NFY7" "SDHF1" " Succinate dehydrogenase assembly factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=SDHAF1 PE=1 SV=1"
"591" "sp" "A8MXU0" "DB108" " Putative beta-defensin 108A OS=Homo sapiens OX=9606 GN=DEFB108C PE=5 SV=2"
"592" "sp" "P63211" "GBG1" " Guanine nucleotide-binding protein G(T) subunit gamma-T1 OS=Homo sapiens OX=9606 GN=GNGT1 PE=1 SV=2"
"593" "sp" "Q6NUJ2" "CK087" " Uncharacterized protein C11orf87 OS=Homo sapiens OX=9606 GN=C11orf87 PE=1 SV=2"
"594" "sp" "Q7Z7J9" "CK2N1" " Calcium/calmodulin-dependent protein kinase II inhibitor 1 OS=Homo sapiens OX=9606 GN=CAMK2N1 PE=3 SV=1"
"595" "sp" "Q8N7S6" "ARI2O" " Uncharacterized protein ARIH2OS OS=Homo sapiens OX=9606 GN=ARIH2OS PE=2 SV=1"
"596" "sp" "Q9BRQ6" "MIC25" " MICOS complex subunit MIC25 OS=Homo sapiens OX=9606 GN=CHCHD6 PE=1 SV=1"
"597" "sp" "Q9BTE1" "DCTN5" " Dynactin subunit 5 OS=Homo sapiens OX=9606 GN=DCTN5 PE=1 SV=1"
"598" "sp" "Q9Y6H1" "CHCH2" " Coiled-coil-helix-coiled-coil-helix domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CHCHD2 PE=1 SV=1"
"599" "sp" "O43914" "TYOBP" " TYRO protein tyrosine kinase-binding protein OS=Homo sapiens OX=9606 GN=TYROBP PE=1 SV=1"
"600" "sp" "P0CJ75" "HMN8" " Humanin-like 8 OS=Homo sapiens OX=9606 GN=MTRNR2L8 PE=2 SV=1"
"601" "sp" "Q5T754" "LCE1F" " Late cornified envelope protein 1F OS=Homo sapiens OX=9606 GN=LCE1F PE=1 SV=1"
"602" "sp" "Q7Z2X7" "PAGE2" " P antigen family member 2 OS=Homo sapiens OX=9606 GN=PAGE2 PE=1 SV=1"
"603" "sp" "Q9BSD7" "NTPCR" " Cancer-related nucleoside-triphosphatase OS=Homo sapiens OX=9606 GN=NTPCR PE=1 SV=1"
"604" "tr" "A0A075B708" "A0A075B708" " T cell receptor alpha joining 61 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ61 PE=4 SV=1"
"605" "sp" "O95968" "SG1D1" " Secretoglobin family 1D member 1 OS=Homo sapiens OX=9606 GN=SCGB1D1 PE=1 SV=1"
"606" "sp" "P52747" "ZN143" " Zinc finger protein 143 OS=Homo sapiens OX=9606 GN=ZNF143 PE=1 SV=2"
"607" "sp" "Q6L8G9" "KRA56" " Keratin-associated protein 5-6 OS=Homo sapiens OX=9606 GN=KRTAP5-6 PE=1 SV=1"
"608" "sp" "Q8NGL0" "OR5L2" " Olfactory receptor 5L2 OS=Homo sapiens OX=9606 GN=OR5L2 PE=2 SV=1"
"609" "sp" "Q96T75" "DSCR8" " Down syndrome critical region protein 8 OS=Homo sapiens OX=9606 GN=DSCR8 PE=1 SV=2"
"610" "sp" "Q9H4G8" "DPH3B" " Putative DPH3 homolog B OS=Homo sapiens OX=9606 GN=DPH3P1 PE=5 SV=1"
"611" "sp" "Q9H4X1" "RGCC" " Regulator of cell cycle RGCC OS=Homo sapiens OX=9606 GN=RGCC PE=1 SV=1"
"612" "sp" "A0A286YF60" "SCGR3" " Small cysteine and glycine repeat-containing protein 3 OS=Homo sapiens OX=9606 GN=SCYGR3 PE=1 SV=1"
"613" "sp" "P20810" "ICAL" " Calpastatin OS=Homo sapiens OX=9606 GN=CAST PE=1 SV=4"
"614" "sp" "P51452" "DUS3" " Dual specificity protein phosphatase 3 OS=Homo sapiens OX=9606 GN=DUSP3 PE=1 SV=1"
"615" "sp" "Q96M34" "TEX55" " Testis-specific expressed protein 55 OS=Homo sapiens OX=9606 GN=TEX55 PE=1 SV=2"
"616" "sp" "Q9BRU2" "TCAL7" " Transcription elongation factor A protein-like 7 OS=Homo sapiens OX=9606 GN=TCEAL7 PE=2 SV=2"
"617" "sp" "Q9GZM3" "RPB1B" " DNA-directed RNA polymerase II subunit RPB11-b1 OS=Homo sapiens OX=9606 GN=POLR2J2 PE=1 SV=2"
"618" "sp" "Q9NX70" "MED29" " Mediator of RNA polymerase II transcription subunit 29 OS=Homo sapiens OX=9606 GN=MED29 PE=1 SV=1"
"619" "sp" "A0A1B0GV96" "CHD9N" " CHD9 neighbor protein OS=Homo sapiens OX=9606 GN=CHD9NB PE=4 SV=1"
"620" "sp" "P17535" "JUND" " Transcription factor JunD OS=Homo sapiens OX=9606 GN=JUND PE=1 SV=3"
"621" "sp" "P81605" "DCD" " Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2"
"622" "sp" "Q01449" "MLRA" " Myosin regulatory light chain 2, atrial isoform OS=Homo sapiens OX=9606 GN=MYL7 PE=1 SV=1"
"623" "sp" "Q629K1" "TRIQK" " Triple QxxK/R motif-containing protein OS=Homo sapiens OX=9606 GN=TRIQK PE=3 SV=1"
"624" "sp" "P01112" "RASH" " GTPase HRas OS=Homo sapiens OX=9606 GN=HRAS PE=1 SV=1"
"625" "sp" "P33763" "S10A5" " Protein S100-A5 OS=Homo sapiens OX=9606 GN=S100A5 PE=1 SV=2"
"626" "sp" "Q10589" "BST2" " Bone marrow stromal antigen 2 OS=Homo sapiens OX=9606 GN=BST2 PE=1 SV=1"
"627" "sp" "Q14990" "ODFP1" " Outer dense fiber protein 1 OS=Homo sapiens OX=9606 GN=ODF1 PE=1 SV=2"
"628" "sp" "Q3B7I2" "CNPY1" " Protein canopy homolog 1 OS=Homo sapiens OX=9606 GN=CNPY1 PE=3 SV=1"
"629" "sp" "Q6MZP7" "LIN54" " Protein lin-54 homolog OS=Homo sapiens OX=9606 GN=LIN54 PE=1 SV=3"
"630" "sp" "Q8NGG0" "OR8J3" " Olfactory receptor 8J3 OS=Homo sapiens OX=9606 GN=OR8J3 PE=3 SV=1"
"631" "sp" "Q8WVP5" "TP8L1" " Tumor necrosis factor alpha-induced protein 8-like protein 1 OS=Homo sapiens OX=9606 GN=TNFAIP8L1 PE=1 SV=2"
"632" "sp" "Q96CX3" "ZN501" " Zinc finger protein 501 OS=Homo sapiens OX=9606 GN=ZNF501 PE=2 SV=2"
"633" "sp" "Q99471" "PFD5" " Prefoldin subunit 5 OS=Homo sapiens OX=9606 GN=PFDN5 PE=1 SV=2"
"634" "tr" "A0A1W2PRE2" "A0A1W2PRE2" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"635" "sp" "G2XKQ0" "SUMO5" " Small ubiquitin-related modifier 5 OS=Homo sapiens OX=9606 GN=SUMO1P1 PE=1 SV=2"
"636" "sp" "P0CW20" "LIMS4" " LIM and senescent cell antigen-like-containing domain protein 4 OS=Homo sapiens OX=9606 GN=LIMS4 PE=1 SV=1"
"637" "sp" "P14678" "RSMB" " Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens OX=9606 GN=SNRPB PE=1 SV=2"
"638" "sp" "P29536" "LMOD1" " Leiomodin-1 OS=Homo sapiens OX=9606 GN=LMOD1 PE=1 SV=3"
"639" "sp" "P54710" "ATNG" " Sodium/potassium-transporting ATPase subunit gamma OS=Homo sapiens OX=9606 GN=FXYD2 PE=1 SV=3"
"640" "sp" "P63302" "SELW" " Selenoprotein W OS=Homo sapiens OX=9606 GN=SELENOW PE=1 SV=3"
"641" "sp" "Q14565" "DMC1" " Meiotic recombination protein DMC1/LIM15 homolog OS=Homo sapiens OX=9606 GN=DMC1 PE=1 SV=2"
"642" "sp" "Q3ZCT1" "ZN260" " Zinc finger protein 260 OS=Homo sapiens OX=9606 GN=ZNF260 PE=1 SV=3"
"643" "sp" "Q8IZA3" "H18" " Histone H1.8 OS=Homo sapiens OX=9606 GN=H1-8 PE=2 SV=1"
"644" "sp" "Q99417" "MYCBP" " c-Myc-binding protein OS=Homo sapiens OX=9606 GN=MYCBP PE=1 SV=3"
"645" "sp" "Q9UHV9" "PFD2" " Prefoldin subunit 2 OS=Homo sapiens OX=9606 GN=PFDN2 PE=1 SV=1"
"646" "sp" "P0DMV1" "CT458" " Cancer/testis antigen family 45 member A8 OS=Homo sapiens OX=9606 GN=CT45A8 PE=3 SV=1"
"647" "sp" "Q69YU5" "UQCC6" " Ubiquinol-cytochrome-c reductase complex assembly factor 6 OS=Homo sapiens OX=9606 GN=UQCC6 PE=1 SV=2"
"648" "sp" "Q8NEJ9" "NGDN" " Neuroguidin OS=Homo sapiens OX=9606 GN=NGDN PE=1 SV=1"
"649" "sp" "Q9NZU7" "CABP1" " Calcium-binding protein 1 OS=Homo sapiens OX=9606 GN=CABP1 PE=1 SV=5"
"650" "sp" "Q9P086" "MED11" " Mediator of RNA polymerase II transcription subunit 11 OS=Homo sapiens OX=9606 GN=MED11 PE=1 SV=2"
"651" "sp" "P0CW19" "LIMS3" " LIM and senescent cell antigen-like-containing domain protein 3 OS=Homo sapiens OX=9606 GN=LIMS3 PE=2 SV=1"
"652" "sp" "P39687" "AN32A" " Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens OX=9606 GN=ANP32A PE=1 SV=1"
"653" "sp" "P68106" "FKB1B" " Peptidyl-prolyl cis-trans isomerase FKBP1B OS=Homo sapiens OX=9606 GN=FKBP1B PE=1 SV=2"
"654" "sp" "Q499Z4" "ZN672" " Zinc finger protein 672 OS=Homo sapiens OX=9606 GN=ZNF672 PE=1 SV=2"
"655" "sp" "Q8IVK1" "GLCM1" " Putative glycosylation-dependent cell adhesion molecule 1 OS=Homo sapiens OX=9606 GN=GLYCAM1 PE=5 SV=1"
"656" "tr" "A0A075B6V9" "A0A075B6V9" " T cell receptor alpha joining 59 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ59 PE=4 SV=1"
"657" "sp" "A0A0A0MTA7" "TJB21" " T cell receptor beta joining 2-1 OS=Homo sapiens OX=9606 GN=TRBJ2-1 PE=4 SV=2"
"658" "sp" "P02775" "CXCL7" " Platelet basic protein OS=Homo sapiens OX=9606 GN=PPBP PE=1 SV=3"
"659" "sp" "P61956" "SUMO2" " Small ubiquitin-related modifier 2 OS=Homo sapiens OX=9606 GN=SUMO2 PE=1 SV=3"
"660" "sp" "Q8WUH1" "CHUR" " Protein Churchill OS=Homo sapiens OX=9606 GN=CHURC1 PE=1 SV=3"
"661" "sp" "Q9HAJ7" "SP30L" " Histone deacetylase complex subunit SAP30L OS=Homo sapiens OX=9606 GN=SAP30L PE=1 SV=1"
"662" "sp" "Q9UHP9" "SMPX" " Small muscular protein OS=Homo sapiens OX=9606 GN=SMPX PE=2 SV=3"
"663" "sp" "Q9ULX9" "MAFF" " Transcription factor MafF OS=Homo sapiens OX=9606 GN=MAFF PE=1 SV=2"
"664" "tr" "A0N4Z3" "A0N4Z3" " HCG2039775 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ14 PE=4 SV=1"
"665" "sp" "P0DMB1" "P23D2" " Proline-rich protein 23D2 OS=Homo sapiens OX=9606 GN=PRR23D2 PE=3 SV=1"
"666" "sp" "P0DMP1" "HMN12" " Humanin-like 12 OS=Homo sapiens OX=9606 GN=MTRNR2L12 PE=3 SV=2"
"667" "sp" "Q05BU3" "F86JP" " Putative protein FAM86JP OS=Homo sapiens OX=9606 GN=FAM86JP PE=5 SV=1"
"668" "sp" "Q5TA79" "LCE2A" " Late cornified envelope protein 2A OS=Homo sapiens OX=9606 GN=LCE2A PE=1 SV=1"
"669" "tr" "A0A075B6Y2" "A0A075B6Y2" " T cell receptor alpha joining 35 (non-functional) (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ35 PE=4 SV=1"
"670" "tr" "A0A8I5KYW3" "A0A8I5KYW3" " Uncharacterized protein OS=Homo sapiens OX=9606 PE=4 SV=1"
"671" "sp" "O14610" "GBGT2" " Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2 OS=Homo sapiens OX=9606 GN=GNGT2 PE=2 SV=1"
"672" "sp" "P02585" "TNNC2" " Troponin C, skeletal muscle OS=Homo sapiens OX=9606 GN=TNNC2 PE=1 SV=2"
"673" "sp" "P0C843" "CI014" " Putative uncharacterized protein encoded by LINC00032 OS=Homo sapiens OX=9606 GN=LINC00032 PE=5 SV=1"
"674" "sp" "Q02045" "MYL5" " Myosin light chain 5 OS=Homo sapiens OX=9606 GN=MYL5 PE=2 SV=1"
"675" "sp" "Q0VDF9" "HSP7E" " Heat shock 70 kDa protein 14 OS=Homo sapiens OX=9606 GN=HSPA14 PE=1 SV=1"
"676" "sp" "Q96DA6" "TIM14" " Mitochondrial import inner membrane translocase subunit TIM14 OS=Homo sapiens OX=9606 GN=DNAJC19 PE=1 SV=3"
"677" "sp" "Q9BXV9" "GON7" " EKC/KEOPS complex subunit GON7 OS=Homo sapiens OX=9606 GN=GON7 PE=1 SV=2"
"678" "sp" "Q9BYE3" "LCE3D" " Late cornified envelope protein 3D OS=Homo sapiens OX=9606 GN=LCE3D PE=1 SV=1"
"679" "sp" "Q9H1E3" "NUCKS" " Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1"
"680" "sp" "Q9NNZ6" "PRM3" " Protamine-3 OS=Homo sapiens OX=9606 GN=PRM3 PE=3 SV=2"
"681" "sp" "O75690" "KRA58" " Keratin-associated protein 5-8 OS=Homo sapiens OX=9606 GN=KRTAP5-8 PE=1 SV=2"
"682" "sp" "P15515" "HIS1" " Histatin-1 OS=Homo sapiens OX=9606 GN=HTN1 PE=1 SV=2"
"683" "sp" "Q4G0S7" "CC152" " Coiled-coil domain-containing protein 152 OS=Homo sapiens OX=9606 GN=CCDC152 PE=1 SV=3"
"684" "sp" "Q7Z7B8" "DB128" " Beta-defensin 128 OS=Homo sapiens OX=9606 GN=DEFB128 PE=1 SV=1"
"685" "sp" "Q96NB1" "CEP20" " Centrosomal protein 20 OS=Homo sapiens OX=9606 GN=CEP20 PE=1 SV=1"
"686" "sp" "Q9BZE7" "EVG1" " UPF0193 protein EVG1 OS=Homo sapiens OX=9606 GN=C22orf23 PE=1 SV=1"
"687" "sp" "A0JLT2" "MED19" " Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2"
"688" "sp" "P0C7P2" "RFL3S" " Putative protein RFPL3S OS=Homo sapiens OX=9606 GN=RFPL3S PE=2 SV=1"
"689" "sp" "P62328" "TYB4" " Thymosin beta-4 OS=Homo sapiens OX=9606 GN=TMSB4X PE=1 SV=2"
"690" "sp" "Q13542" "4EBP2" " Eukaryotic translation initiation factor 4E-binding protein 2 OS=Homo sapiens OX=9606 GN=EIF4EBP2 PE=1 SV=1"
"691" "sp" "Q14508" "WFDC2" " WAP four-disulfide core domain protein 2 OS=Homo sapiens OX=9606 GN=WFDC2 PE=1 SV=2"
"692" "sp" "Q3LI64" "KRA61" " Keratin-associated protein 6-1 OS=Homo sapiens OX=9606 GN=KRTAP6-1 PE=1 SV=1"
"693" "sp" "Q5T0J7" "TEX35" " Testis-expressed protein 35 OS=Homo sapiens OX=9606 GN=TEX35 PE=1 SV=1"
"694" "sp" "Q8N9Q2" "SR1IP" " Protein SREK1IP1 OS=Homo sapiens OX=9606 GN=SREK1IP1 PE=1 SV=1"
"695" "sp" "Q9UHU1" "YK039" " Putative uncharacterized protein PRO1716 OS=Homo sapiens OX=9606 GN=PRO1716 PE=5 SV=1"
"696" "sp" "Q9Y2P8" "RCL1" " RNA 3'-terminal phosphate cyclase-like protein OS=Homo sapiens OX=9606 GN=RCL1 PE=1 SV=3"
"697" "sp" "Q9Y330" "ZBT12" " Zinc finger and BTB domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ZBTB12 PE=1 SV=1"
"698" "sp" "A0A0J9YWX3" "TJB16" " T cell receptor beta joining 1-6 OS=Homo sapiens OX=9606 GN=TRBJ1-6 PE=4 SV=2"
"699" "tr" "A0N4X5" "A0N4X5" " HCG2039756 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ34 PE=4 SV=1"
"700" "sp" "A6NFE3" "EFC10" " EF-hand calcium-binding domain-containing protein 10 OS=Homo sapiens OX=9606 GN=EFCAB10 PE=2 SV=2"
"701" "sp" "P0CG48" "UBC" " Polyubiquitin-C OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=3"
"702" "sp" "P0CJ73" "HMN6" " Humanin-like 6 OS=Homo sapiens OX=9606 GN=MTRNR2L6 PE=2 SV=1"
"703" "sp" "P0DPR3" "TRDD1" " T cell receptor delta diversity 1 OS=Homo sapiens OX=9606 GN=TRDD1 PE=1 SV=1"
"704" "sp" "P53803" "RPAB4" " DNA-directed RNA polymerases I, II, and III subunit RPABC4 OS=Homo sapiens OX=9606 GN=POLR2K PE=1 SV=1"
"705" "sp" "P60059" "SC61G" " Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=1 SV=1"
"706" "sp" "P62191" "PRS4" " 26S proteasome regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMC1 PE=1 SV=1"
"707" "sp" "Q16774" "KGUA" " Guanylate kinase OS=Homo sapiens OX=9606 GN=GUK1 PE=1 SV=2"
"708" "sp" "Q6ZS49" "YQ050" " Putative uncharacterized protein FLJ45831 OS=Homo sapiens OX=9606 PE=5 SV=1"
"709" "sp" "Q8WXA9" "SREK1" " Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1"
"710" "tr" "A0A075B6Z2" "A0A075B6Z2" " T cell receptor alpha joining 56 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ56 PE=4 SV=1"
"711" "tr" "A0A075B702" "A0A075B702" " T cell receptor alpha joining 41 (Fragment) OS=Homo sapiens OX=9606 GN=TRAJ41 PE=4 SV=1"
"712" "sp" "E9PRG8" "CK098" " Uncharacterized protein C11orf98 OS=Homo sapiens OX=9606 GN=C11orf98 PE=4 SV=2"
"713" "sp" "O00479" "HMGN4" " High mobility group nucleosome-binding domain-containing protein 4 OS=Homo sapiens OX=9606 GN=HMGN4 PE=1 SV=3"
"714" "sp" "O14910" "LIN7A" " Protein lin-7 homolog A OS=Homo sapiens OX=9606 GN=LIN7A PE=1 SV=2"
"715" "sp" "O95045" "UPP2" " Uridine phosphorylase 2 OS=Homo sapiens OX=9606 GN=UPP2 PE=1 SV=1"
"716" "sp" "P14555" "PA2GA" " Phospholipase A2, membrane associated OS=Homo sapiens OX=9606 GN=PLA2G2A PE=1 SV=2"
"717" "sp" "P41208" "CETN2" " Centrin-2 OS=Homo sapiens OX=9606 GN=CETN2 PE=1 SV=1"
"718" "sp" "P43686" "PRS6B" " 26S proteasome regulatory subunit 6B OS=Homo sapiens OX=9606 GN=PSMC4 PE=1 SV=2"
"719" "sp" "Q8NH93" "OR1L3" " Olfactory receptor 1L3 OS=Homo sapiens OX=9606 GN=OR1L3 PE=1 SV=1"
"720" "sp" "Q96S44" "PRPK" " EKC/KEOPS complex subunit TP53RK OS=Homo sapiens OX=9606 GN=TP53RK PE=1 SV=2"
"721" "sp" "Q9BXW4" "MLP3C" " Microtubule-associated proteins 1A/1B light chain 3C OS=Homo sapiens OX=9606 GN=MAP1LC3C PE=1 SV=1"
"722" "sp" "Q9Y383" "LC7L2" " Putative RNA-binding protein Luc7-like 2 OS=Homo sapiens OX=9606 GN=LUC7L2 PE=1 SV=2"
"723" "sp" "O43805" "SSNA1" " Microtubule nucleation factor SSNA1 OS=Homo sapiens OX=9606 GN=SSNA1 PE=1 SV=2"
"724" "sp" "P05387" "RLA2" " 60S acidic ribosomal protein P2 OS=Homo sapiens OX=9606 GN=RPLP2 PE=1 SV=1"
"725" "sp" "P22301" "IL10" " Interleukin-10 OS=Homo sapiens OX=9606 GN=IL10 PE=1 SV=1"
"726" "sp" "P48201" "AT5G3" " ATP synthase F(0) complex subunit C3, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5MC3 PE=1 SV=1"
"727" "sp" "Q5T1J5" "CHCH9" " Putative coiled-coil-helix-coiled-coil-helix domain-containing protein CHCHD2P9, mitochondrial OS=Homo sapiens OX=9606 GN=CHCHD2P9 PE=5 SV=1"
"728" "sp" "Q5TA78" "LCE4A" " Late cornified envelope protein 4A OS=Homo sapiens OX=9606 GN=LCE4A PE=1 SV=1"
"729" "sp" "Q8NG78" "OR8G5" " Olfactory receptor 8G5 OS=Homo sapiens OX=9606 GN=OR8G5 PE=2 SV=2"
"730" "sp" "Q8TBP5" "F174A" " Membrane protein FAM174A OS=Homo sapiens OX=9606 GN=FAM174A PE=1 SV=1"
"731" "sp" "Q8TD33" "SG1C1" " Secretoglobin family 1C member 1 OS=Homo sapiens OX=9606 GN=SCGB1C1 PE=3 SV=2"
"732" "sp" "Q96C19" "EFHD2" " EF-hand domain-containing protein D2 OS=Homo sapiens OX=9606 GN=EFHD2 PE=1 SV=1"
"733" "sp" "Q9UKA9" "PTBP2" " Polypyrimidine tract-binding protein 2 OS=Homo sapiens OX=9606 GN=PTBP2 PE=1 SV=1"
"734" "sp" "A6NMA1" "TR5OS" " Putative uncharacterized protein TRPC5OS OS=Homo sapiens OX=9606 GN=TRPC5OS PE=4 SV=1"
"735" "sp" "O95424" "DEXI" " Dexamethasone-induced protein OS=Homo sapiens OX=9606 GN=DEXI PE=1 SV=2"
"736" "sp" "P00568" "KAD1" " Adenylate kinase isoenzyme 1 OS=Homo sapiens OX=9606 GN=AK1 PE=1 SV=3"
"737" "sp" "P0CJ69" "HMN2" " Humanin-like 2 OS=Homo sapiens OX=9606 GN=MTRNR2L2 PE=2 SV=1"
"738" "sp" "P0CJ72" "HMN5" " Humanin-like 5 OS=Homo sapiens OX=9606 GN=MTRNR2L5 PE=2 SV=1"
"739" "sp" "P10720" "PF4V" " Platelet factor 4 variant OS=Homo sapiens OX=9606 GN=PF4V1 PE=1 SV=1"
"740" "sp" "P63165" "SUMO1" " Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1"
"741" "sp" "Q14061" "COX17" " Cytochrome c oxidase copper chaperone OS=Homo sapiens OX=9606 GN=COX17 PE=1 SV=2"
"742" "sp" "Q15532" "SSXT" " Protein SSXT OS=Homo sapiens OX=9606 GN=SS18 PE=1 SV=3"
"743" "sp" "Q96GV9" "MACIR" " Macrophage immunometabolism regulator OS=Homo sapiens OX=9606 GN=MACIR PE=1 SV=1"
"744" "sp" "P01185" "NEU2" " Vasopressin-neurophysin 2-copeptin OS=Homo sapiens OX=9606 GN=AVP PE=1 SV=2"
"745" "sp" "P30273" "FCERG" " High affinity immunoglobulin epsilon receptor subunit gamma OS=Homo sapiens OX=9606 GN=FCER1G PE=1 SV=1"
"746" "sp" "Q6JBY9" "CPZIP" " CapZ-interacting protein OS=Homo sapiens OX=9606 GN=RCSD1 PE=1 SV=1"
"747" "sp" "Q71DI3" "H32" " Histone H3.2 OS=Homo sapiens OX=9606 GN=H3C13 PE=1 SV=3"
"748" "sp" "Q96QV6" "H2A1A" " Histone H2A type 1-A OS=Homo sapiens OX=9606 GN=H2AC1 PE=1 SV=3"
"749" "sp" "Q9BXU0" "TEX12" " Testis-expressed protein 12 OS=Homo sapiens OX=9606 GN=TEX12 PE=1 SV=1"
"750" "sp" "Q9NY12" "GAR1" " H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1"
"751" "sp" "Q9UK08" "GBG8" " Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8 OS=Homo sapiens OX=9606 GN=GNG8 PE=1 SV=1"
"752" "sp" "Q9UQR1" "ZN148" " Zinc finger protein 148 OS=Homo sapiens OX=9606 GN=ZNF148 PE=1 SV=2"
"753" "sp" "P02795" "MT2" " Metallothionein-2 OS=Homo sapiens OX=9606 GN=MT2A PE=1 SV=1"
"754" "sp" "Q07352" "TISB" " mRNA decay activator protein ZFP36L1 OS=Homo sapiens OX=9606 GN=ZFP36L1 PE=1 SV=1"
"755" "sp" "Q15884" "EREP1" " Endosomal transmembrane epsin interactor 1 OS=Homo sapiens OX=9606 GN=ENTREP1 PE=1 SV=3"
"756" "sp" "Q8IYR6" "TEFF1" " Tomoregulin-1 OS=Homo sapiens OX=9606 GN=TMEFF1 PE=1 SV=1"
"757" "sp" "Q92743" "HTRA1" " Serine protease HTRA1 OS=Homo sapiens OX=9606 GN=HTRA1 PE=1 SV=1"
"758" "sp" "Q9H081" "MIS12" " Protein MIS12 homolog OS=Homo sapiens OX=9606 GN=MIS12 PE=1 SV=1"
"759" "sp" "Q9H2F9" "CCD68" " Coiled-coil domain-containing protein 68 OS=Homo sapiens OX=9606 GN=CCDC68 PE=1 SV=1"
